x,y,site_count,lon,lat
-444.97206703910615,42.767295597484235,6,8.4737625698324,48.97032075471698
-444.97206703910615,47.79874213836479,5,8.4737625698324,48.970358490566035
-444.97206703910615,52.83018867924528,6,8.4737625698324,48.97039622641509
-444.97206703910615,57.86163522012578,5,8.4737625698324,48.97043396226415
-444.97206703910615,62.89308176100627,6,8.4737625698324,48.97047169811321
-444.97206703910615,67.92452830188677,4,8.4737625698324,48.97050943396226
-444.97206703910615,72.95597484276726,6,8.4737625698324,48.97054716981132
-444.97206703910615,77.98742138364776,5,8.4737625698324,48.970584905660374
-444.97206703910615,83.01886792452831,7,8.4737625698324,48.970622641509436
-444.97206703910615,88.0503144654088,4,8.4737625698324,48.97066037735849
-444.97206703910615,93.0817610062893,7,8.4737625698324,48.97069811320755
-444.97206703910615,98.1132075471698,7,8.4737625698324,48.9707358490566
-444.97206703910615,103.14465408805029,4,8.4737625698324,48.97077358490566
-444.97206703910615,108.17610062893078,6,8.4737625698324,48.97081132075471
-444.97206703910615,113.20754716981128,5,8.4737625698324,48.970849056603775
-444.97206703910615,118.23899371069183,6,8.4737625698324,48.97088679245283
-444.97206703910615,123.27044025157227,4,8.4737625698324,48.970924528301886
-444.97206703910615,128.30188679245282,5,8.4737625698324,48.97096226415094
-444.97206703910615,133.33333333333326,4,8.4737625698324,48.971
-444.97206703910615,138.3647798742138,4,8.4737625698324,48.97103773584906
-444.97206703910615,143.39622641509436,5,8.4737625698324,48.971075471698114
-444.97206703910615,148.4276729559748,4,8.4737625698324,48.97111320754717
-444.97206703910615,153.45911949685535,6,8.4737625698324,48.971150943396225
-444.97206703910615,158.4905660377358,3,8.4737625698324,48.97118867924528
-444.97206703910615,163.52201257861634,6,8.4737625698324,48.971226415094335
-444.97206703910615,168.55345911949678,5,8.4737625698324,48.9712641509434
-444.97206703910615,173.58490566037733,5,8.4737625698324,48.97130188679245
-444.97206703910615,178.61635220125788,4,8.4737625698324,48.97133962264151
-444.97206703910615,183.64779874213832,5,8.4737625698324,48.971377358490564
-444.97206703910615,188.67924528301887,5,8.4737625698324,48.97141509433962
-444.97206703910615,193.7106918238993,7,8.4737625698324,48.97145283018868
-444.97206703910615,198.74213836477986,3,8.4737625698324,48.97149056603774
-444.97206703910615,203.7735849056603,5,8.4737625698324,48.97152830188679
-444.97206703910615,208.80503144654085,4,8.4737625698324,48.97156603773585
-444.97206703910615,213.8364779874214,5,8.4737625698324,48.9716037735849
-444.97206703910615,218.86792452830184,5,8.4737625698324,48.97164150943396
-444.97206703910615,223.8993710691824,6,8.4737625698324,48.97167924528302
-444.97206703910615,228.93081761006283,5,8.4737625698324,48.971716981132076
